temperature,vibration,pressure,humidity,rotation_speed,voltage,current,oil_level,load,motor_temperature,gearbox_temperature,sound_level,fan_speed,reactive_power,active_power,machine_failure
74.62783285,0.457069778,29.8147074,29.62205995,1445.236474,220.291905,5.412051448,68.8611451,91.57244548,64.18495577,66.949728,73.9574991,1060.851978,46.8163472,98.76688401,0
68.92905694,0.302453343,32.00622497,42.37583873,1551.815145,219.9081765,4.293637121,73.53795911,96.62931447,61.80957135,58.42900235,77.74082165,1213.723417,57.571238,97.97031657,1
70.1753827,0.705620713,31.71617233,41.26284423,1517.518511,229.6390693,4.592800906,68.36732074,88.30498134,55.11030582,64.79897633,65.03665633,1164.201639,45.01469836,95.59674315,0
74.9819873,0.595312505,25.03533769,41.21441007,1528.242118,235.9040357,4.372919507,71.19085653,77.74648515,54.03513314,69.7210742,76.92815146,1240.726773,52.13491842,83.4604044,0
81.52739404,0.501035262,31.99777276,38.19268617,1479.534576,213.4331065,5.550665082,64.41036196,88.6392355,59.35163474,61.73128985,74.53949791,1180.630913,53.41244605,108.0984606,0
73.45413938,0.341586406,24.671261,42.56807232,1420.205302,221.3674665,4.93673371,67.22356949,59.85936726,53.44228017,61.69579402,73.31351297,1112.244898,49.8234157,93.38512115,0
66.44915804,0.474045332,28.48275989,48.51586305,1525.899739,237.221551,5.543190356,77.19084601,81.92004237,61.18865864,55.10807542,71.99009451,1189.357006,46.66868307,109.9029955,0
74.34928473,0.48130287,26.6995373,51.60020361,1483.172371,225.4028794,4.946954682,60.95366143,75.07081725,54.50906808,75.30211349,72.60754351,1187.734626,45.71749021,113.8784597,0
76.91204873,0.50928449,26.49666135,33.14128435,1492.917571,198.7605242,4.574557955,68.02358226,77.12890495,53.74321909,67.95785509,73.4208274,1190.906997,50.09059239,104.7319658,0
78.12833674,0.517989415,29.42988289,44.89211056,1513.917432,222.1865931,5.482077942,71.57222295,47.58486175,59.52425938,57.90307822,64.8732627,1200.026968,51.22638466,101.9199379,0
78.54501879,0.564521559,26.83032707,43.84419838,1515.452372,206.2448911,4.828925674,73.67634655,77.71527456,58.82746232,66.45829467,72.02995886,1279.93238,50.40571916,99.62085322,0
76.0146151,0.486569126,28.40635712,37.74025314,1476.210228,232.434058,4.587083613,80.27096921,82.9593324,63.02702252,64.25182028,76.26408076,1281.997834,56.4017601,94.15506567,0
75.23699336,0.340529693,29.11473026,47.97221196,1468.120623,245.009005,5.410149187,64.62131676,87.09932748,57.66130658,58.9326832,79.18530572,1123.330396,54.519457,84.91390546,0
75.98260585,0.552112243,28.41306688,40.24654166,1493.832797,220.3488795,5.249441597,66.09928059,82.56783257,63.44247987,61.25954509,71.39198548,1153.10233,52.08729516,102.8726793,0
81.77818929,0.420080799,26.43100002,40.00341409,1565.584672,229.703162,5.210858467,65.75447575,84.19050735,58.10187752,59.070392,75.30496728,1182.656801,56.73839043,105.0680259,0
70.80139079,0.567792587,27.10872322,50.82528034,1507.856396,214.1358485,6.028905589,74.65832983,81.01788334,59.98880942,76.74554279,76.43654272,1196.135738,54.1347303,98.94475061,0
78.77695613,0.487825249,30.98363857,42.37715341,1454.359454,204.8103022,4.6481448,72.34270081,82.31730942,53.26607169,69.8306983,79.59903763,1197.053682,42.42442532,104.0226234,0
72.1209088,0.544460267,29.37205854,38.90673361,1519.368574,221.247521,4.668281921,73.1067337,74.34062869,59.52865465,69.74648249,75.36818672,1238.375454,52.26248228,98.20797346,0
72.76742524,0.510537551,25.20562694,37.95156704,1519.789942,213.6459012,5.541499969,70.79046949,86.04051645,55.30217416,60.81902575,74.51864987,1222.651983,45.67395473,114.2027109,0
80.71411407,0.520109905,22.31299902,45.24353563,1477.260264,204.1757203,5.27598213,65.79753507,77.67726497,59.58414114,61.23441335,78.27887733,1162.040823,41.72744803,92.11690735,1
82.69018283,0.547704083,33.70839217,48.51257329,1464.763578,217.8033055,4.245722016,65.31602383,86.74694978,57.39684697,59.41774572,70.14353228,1240.477094,52.28249018,97.89844396,1
70.86384528,0.518335992,31.22595843,35.10139388,1534.011018,217.251547,4.250409399,79.71764441,74.07297177,61.54523418,65.61245463,75.87679637,1207.438037,54.9592685,90.68834739,0
75.95549534,0.489269786,25.44847891,48.07389395,1532.225925,211.0625398,4.816398033,75.56317153,75.76166462,64.8524423,64.58743241,74.27200062,1118.587298,42.56355103,85.35293318,0
76.62041985,0.43744373,32.47529479,33.14163151,1463.097146,227.2906365,5.688590468,74.83897235,69.19592671,62.11162399,56.14051659,79.33303024,1253.769528,51.40974437,102.8627334,0
76.48492337,0.415303865,25.07043357,35.51678886,1512.17651,223.2557782,5.128800429,66.31131648,74.41200428,62.08436531,63.03399498,77.73272111,1145.447664,47.71091515,101.8861234,0
72.14410505,0.483693304,31.00252925,48.21689078,1540.401809,224.6795042,4.997446684,78.26456526,73.15012821,62.47882787,68.95570002,74.69791238,1277.144405,50.95461866,91.15890859,0
77.91964093,0.419039648,28.42125643,29.01936089,1461.411402,212.626201,4.261868728,75.85330815,83.38758162,59.29862207,60.81088469,74.6380709,1218.44586,54.27313655,98.50033709,0
79.1103008,0.638427282,27.56742747,38.05038147,1485.131196,214.9643038,5.567973923,79.48943646,97.4585897,53.72988674,72.59668176,71.18853526,1165.482407,53.24802433,104.3800526,0
78.93542302,0.729094257,30.73951434,42.27952098,1523.991352,199.2535996,5.435762193,69.71364795,88.77826031,59.4899686,64.15607631,72.08299499,1235.257433,48.16698715,96.87422575,0
74.72226151,0.573487779,25.1802687,41.46357741,1525.007152,219.3996246,5.263919675,73.15437802,85.1060069,59.47995386,61.70337933,75.05469299,1233.64851,47.83799406,88.64567691,0
73.65555655,0.51943843,31.53237627,42.22386904,1502.278194,218.6907419,4.625292007,69.68305074,85.6285448,60.96430922,63.06209554,75.80092735,1275.462001,56.71478166,76.01836905,0
79.75211919,0.503200415,32.67059523,44.30818062,1507.291824,206.6929487,5.421256948,72.19575067,74.10746269,65.13575518,74.05777887,76.81539905,1172.672585,54.63822766,101.0296524,0
68.24157697,0.567787532,34.71905918,41.64553389,1487.185959,207.6689869,4.616838738,71.58476003,85.40589542,60.71708815,70.49792232,79.4234921,1309.581913,49.72626802,98.52844695,0
70.68004615,0.595530521,33.73403874,39.69498014,1513.28085,194.6823068,5.245706378,66.12196698,71.61823518,63.6358563,55.58739624,73.94501945,1177.839065,49.1975689,94.11638436,1
76.76027698,0.62619215,32.33222206,35.82859095,1562.656641,220.2538528,5.585583816,74.88936136,67.89257373,61.13702539,70.1304372,67.34237954,1123.64396,51.73958039,99.96087491,0
70.16511928,0.437328278,32.19747631,55.76028367,1514.338706,239.9137042,4.861555322,69.63571156,79.01279106,62.6296864,62.96985423,67.42962791,1154.785241,52.01328491,85.68270303,0
72.57318226,0.416465295,36.29916537,36.3234827,1516.22293,214.8609937,4.867219744,64.42733842,77.79271243,55.49919886,70.93713576,76.92563718,1202.601033,49.39749471,107.6645596,0
80.79055437,0.406066461,26.72489737,39.9879808,1470.223253,214.8224255,4.741576558,75.89126424,78.39925513,56.01280941,65.69317514,75.40069625,1140.174248,38.20767929,101.3493953,0
77.59673257,0.498469015,26.91188548,34.23333798,1515.370178,219.5373878,5.449179784,66.20163491,86.55233629,67.11976923,65.43678713,78.98860273,1277.005391,49.12644481,104.7729601,0
74.79921025,0.480509172,24.5381901,50.07637555,1485.277212,223.3795555,4.970784941,67.9760231,85.33695248,60.31691696,68.05117503,76.1551655,1213.190954,45.08448426,103.116343,0
75.14159188,0.607600714,28.92111098,35.0332065,1397.482127,225.1012436,4.858937112,70.7215501,92.56197439,59.42405836,65.21855198,80.1879026,1087.163745,57.41629442,82.61602421,1
62.88060337,0.594752646,27.46105207,47.2365285,1505.791229,226.2308735,5.501118083,73.6151897,79.48764164,55.49539441,62.05945701,70.76759314,1142.54102,51.66529218,103.6539621,0
71.81306436,0.380636317,26.68541162,46.48031531,1526.551305,226.1233221,5.016071573,71.80113019,63.34874704,63.43387035,63.97646383,78.69661271,1160.891027,57.42217019,107.3568076,0
71.08373354,0.618947049,30.30556889,44.75774885,1497.203978,224.7950755,5.54495248,66.73735853,70.91497488,59.03458963,59.03312116,72.12193512,1197.857188,47.93234371,104.4228164,1
68.59847801,0.530805054,32.98971153,41.89576559,1529.363121,206.7912164,4.785509641,60.13955487,94.15204527,57.16276359,59.41529558,77.95377868,1204.672925,53.06078403,97.20033867,0
75.48838049,0.455671775,26.65042668,42.00240693,1466.37572,215.1111388,4.589560539,63.57067991,96.26430735,64.87600271,58.15268113,71.13097171,1237.021061,49.05409832,114.5034026,0
84.41012248,0.591922893,30.25147988,30.10887375,1455.633527,210.6003217,5.182697121,65.98444583,77.16293272,60.91085314,67.28612406,74.50054325,1164.224362,52.99297546,98.24756637,0
72.77248739,0.516865467,29.84278665,36.649424,1496.867589,214.0310522,5.374641278,74.81251296,88.83606786,59.11932901,59.42376732,71.64530418,1172.719292,60.25754732,113.5672849,0
80.74636663,0.475393751,30.75949571,41.12880762,1450.278574,221.0720796,3.938003591,77.33925222,79.35662353,60.74273952,72.78208018,74.78986067,1209.172711,50.19953347,117.9675347,1
72.8950776,0.47288764,32.77281042,33.50391818,1532.770191,227.7511512,5.701004663,68.93203379,91.6300097,58.32110691,71.81803648,71.65180747,1127.439039,52.52696688,96.74486587,0
75.30115105,0.587006773,30.12275753,38.49570126,1577.939459,219.6010562,5.240293379,76.57037491,62.43131301,65.31083724,61.64346204,75.09859012,1177.191583,54.36045098,97.64019901,0
74.06564178,0.451693895,29.64970225,35.03068663,1537.824418,231.0321757,5.220831282,72.88536092,81.44253522,57.18395133,61.43403848,72.5707936,1271.475983,59.71792044,92.89308008,0
72.79977757,0.426447006,28.48746051,41.15722961,1443.937813,206.641376,5.483589061,70.91497225,72.49279666,68.93619982,64.25888556,78.28368736,1155.733678,49.02707668,103.7961006,0
